record_uid,source_index,fid,site_id,geographic_region,site_type_label,date_collected,latitude,longitude,easting_source,northing_source,expected_easting_epsg3857,expected_northing_epsg3857,spatial_difference_m,unknown,core_substrate_count,notes,qa_reason,url_link
REC0142,141,142,AA2017_149,"St. Thomas, USVI",Accuracy Assessment,2017-01-30,18.21115954,-65.02309774,-7238336.198,2062304.46,-7238338.13,2062279.263,25.271,Absent,1,This site is duplicated because starts out as sand and rhodo then transitions to pavement and then agg reef,Duplicate SITE ID (source-documented for AA2017_149); index/FID mismatch; Projected coordinates inconsistent with latitude/longitude (>5 m),https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_149.mp4
REC0143,142,141,AA2017_149,"St. Thomas, USVI",Accuracy Assessment,2017-01-30,18.21137455,-65.02308038,-7238338.13,2062279.263,-7238336.198,2062304.46,25.271,Absent,2,This site is duplicated because starts out as sand and rhodo then transitions to pavement and then agg reef,Duplicate SITE ID (source-documented for AA2017_149); index/FID mismatch; Projected coordinates inconsistent with latitude/longitude (>5 m),https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_149.mp4
REC0633,632,632,GV2011_265,"St. Thomas, USVI",Ground Validation,2011-04-13,18.24687918,-64.87795277,-7222180.666,2066465.655,-7222180.666,2066465.655,0.0,Present,0,camera never reached the bottom,UNKNOWN class present; No core substrate class marked Present; Source note indicates unusable/missing underwater video,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2011_265.mp4
REC0640,639,639,GV2011_273,"St. Thomas, USVI",Ground Validation,2011-04-13,18.23935227,-64.91226781,-7226000.599,2065583.419,-7226000.599,2065583.419,0.0,Present,0,No Underwater Video,UNKNOWN class present; No core substrate class marked Present; Source note indicates unusable/missing underwater video,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2011_273.mp4
REC0659,658,658,GV2011_308,"St. Thomas, USVI",Ground Validation,2011-04-13,18.23263273,-64.89917096,-7224542.664,2064795.848,-7224542.664,2064795.848,0.0,Absent,0,"Site 308 and 269 combined into one video, using orignal annotation from site 269",No core substrate class marked Present,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2011_308.mp4
REC0940,939,939,GV2016_303,"St. John, USVI",Ground Validation,2016-09-11,18.28792746,-64.6696765,-7198995.458,2071277.633,-7198995.458,2071277.633,0.0,Present,1,,UNKNOWN class present,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_303.mp4
